                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.97594,                0.67686,                 1.0504,                 0.9988,                0.95192,                0.98349,                0.76543,                0.85213,                0.59922,                 1.0103,              0.0018878,              0.0018878,              0.0018878
                     37,                0.95078,                0.63635,                 1.0213,                 0.9975,                0.95192,                0.98604,                0.75782,                0.86355,                0.60694,                 1.0228,              0.0018845,              0.0018845,              0.0018845
                     38,                0.93051,                0.62398,                 1.0223,                0.92544,                0.95477,                0.94965,                0.70703,                0.86263,                0.69649,                 1.0344,              0.0018812,              0.0018812,              0.0018812
                     39,                0.90711,                0.66827,                 1.0295,                 0.9613,                0.95533,                0.95895,                0.74641,                0.83201,                0.67155,                0.98718,              0.0018779,              0.0018779,              0.0018779
                     40,                0.91322,                0.63708,                   1.02,                      1,                0.97046,                0.97859,                0.76681,                0.86403,                0.60096,                 1.0015,              0.0018746,              0.0018746,              0.0018746
                     41,                0.88711,                0.59904,                 1.0072,                0.98823,                0.97115,                0.97941,                0.77953,                0.81005,                0.58793,                0.98576,              0.0018713,              0.0018713,              0.0018713
                     42,                0.92238,                0.60534,                 1.0007,                0.98696,                0.96154,                0.98845,                0.75739,                0.85639,                0.61362,                 1.0036,               0.001868,               0.001868,               0.001868
                     43,                0.91164,                0.62194,                 1.0057,                0.99153,                0.96154,                0.98873,                0.77257,                0.81198,                0.56694,                0.99387,              0.0018647,              0.0018647,              0.0018647
                     44,                0.94025,                 0.6767,                 1.0451,                0.99869,                0.96154,                0.98102,                0.76581,                0.84503,                0.55782,                 1.0242,              0.0018614,              0.0018614,              0.0018614
                     45,                0.89202,                0.61273,                0.98519,                      1,                0.97039,                0.97703,                0.77006,                0.77905,                0.60013,                0.98473,              0.0018581,              0.0018581,              0.0018581
                     46,                0.89801,                0.58337,                0.98806,                      1,                0.97055,                0.97519,                 0.7817,                0.75561,                0.53349,                0.97494,              0.0018548,              0.0018548,              0.0018548
                     47,                0.87529,                 0.5639,                0.99049,                0.99916,                0.96154,                 0.9765,                0.75264,                0.85205,                0.56911,                 1.0442,              0.0018515,              0.0018515,              0.0018515
                     48,                0.93318,                0.62335,                 1.0727,                0.99743,                0.96154,                0.98856,                0.75397,                0.79222,                0.60651,                 1.0002,              0.0018482,              0.0018482,              0.0018482
                     49,                0.98112,                0.64123,                 1.0386,                0.99843,                0.96154,                 0.9893,                0.77402,                0.76222,                 0.5688,                0.99946,              0.0018449,              0.0018449,              0.0018449
                     50,                0.87794,                0.58597,                 1.0239,                0.98683,                0.96154,                0.98824,                0.77486,                0.80297,                0.56137,                 1.0323,              0.0018416,              0.0018416,              0.0018416
                     51,                0.89361,                0.58195,                 1.0228,                0.99902,                0.95192,                0.98507,                0.77294,                0.82404,                0.55182,                 1.0306,              0.0018383,              0.0018383,              0.0018383
                     52,                0.87087,                0.59419,                 1.0169,                0.99981,                0.97115,                0.97909,                0.77256,                0.80338,                0.53503,                0.98758,               0.001835,               0.001835,               0.001835
                     53,                0.83833,                0.58093,                0.97779,                0.99953,                0.97115,                0.98475,                0.79323,                0.75508,                 0.4921,                0.98168,              0.0018317,              0.0018317,              0.0018317
                     54,                0.90078,                0.56576,                  1.011,                0.99932,                0.97115,                0.99328,                0.77851,                 0.8009,                0.51689,                 1.0127,              0.0018284,              0.0018284,              0.0018284
                     55,                0.89296,                0.58089,                 1.0235,                0.98997,                0.97115,                0.99032,                0.78071,                0.77444,                0.56306,                0.98557,              0.0018251,              0.0018251,              0.0018251
                     56,                 0.8772,                0.57606,                  1.008,                      1,                0.96993,                0.98553,                0.76438,                0.80853,                0.53012,                 1.0042,              0.0018218,              0.0018218,              0.0018218
                     57,                0.89147,                0.55562,                0.99155,                 0.9999,                0.97115,                0.98911,                0.75553,                 0.8344,                 0.5421,                 1.0228,              0.0018185,              0.0018185,              0.0018185
